"label","left_0_x","left_0_y","left_1_x","left_1_y","left_2_x","left_2_y","left_3_x","left_3_y","left_4_x","left_4_y","left_5_x","left_5_y","left_6_x","left_6_y","left_7_x","left_7_y","left_8_x","left_8_y","left_9_x","left_9_y","left_10_x","left_10_y","left_11_x","left_11_y","left_12_x","left_12_y","left_13_x","left_13_y","left_14_x","left_14_y","left_15_x","left_15_y","left_16_x","left_16_y","left_17_x","left_17_y","left_18_x","left_18_y","left_19_x","left_19_y","left_20_x","left_20_y","right_0_x","right_0_y","right_1_x","right_1_y","right_2_x","right_2_y","right_3_x","right_3_y","right_4_x","right_4_y","right_5_x","right_5_y","right_6_x","right_6_y","right_7_x","right_7_y","right_8_x","right_8_y","right_9_x","right_9_y","right_10_x","right_10_y","right_11_x","right_11_y","right_12_x","right_12_y","right_13_x","right_13_y","right_14_x","right_14_y","right_15_x","right_15_y","right_16_x","right_16_y","right_17_x","right_17_y","right_18_x","right_18_y","right_19_x","right_19_y","right_20_x","right_20_y","left_roll","left_pitch","left_yaw","right_roll","right_pitch","right_yaw","capture_mode","hand_presence","left_points_visible","right_points_visible","left_fallback_used","right_fallback_used","curation_action","timestamp_unix_ms"
"q","0.465431","0.517402","0.473545","0.546766","0.47344","0.586764","0.473376","0.629125","0.477876","0.662824","0.43496","0.552523","0.425566","0.625792","0.422828","0.657009","0.420364","0.677546","0.417811","0.544052","0.412975","0.628001","0.420217","0.655604","0.426271","0.66562","0.408211","0.543705","0.404015","0.615934","0.412505","0.633141","0.419043","0.632365","0.402774","0.549787","0.396616","0.603921","0.40217","0.622469","0.407116","0.625351","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1319","33.310856","567.008301","-176.885941","856.933594","-662.692261","static","left_only","21","0","0","0","keep","1.77E+12"
"r","0.356057","0.669943","0.382081","0.623482","0.392815","0.573864","0.381147","0.537095","0.367358","0.515717","0.381829","0.522007","0.380442","0.469223","0.377271","0.435238","0.37391","0.404483","0.366371","0.521519","0.370029","0.462439","0.372988","0.426227","0.375564","0.394667","0.350187","0.530772","0.351208","0.488799","0.357508","0.524948","0.360617","0.555341","0.333456","0.547986","0.33615","0.511219","0.344906","0.535081","0.349659","0.560293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-146.950058","-72.620964","-565.269958","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"r","0.367182","0.817538","0.400668","0.771628","0.414174","0.711372","0.394665","0.668345","0.368211","0.651331","0.397667","0.628821","0.392366","0.543234","0.387134","0.486216","0.380767","0.435853","0.375317","0.625698","0.381253","0.5361","0.382441","0.477224","0.381379","0.42802","0.3523","0.638597","0.347863","0.578554","0.355173","0.634497","0.36061","0.681666","0.328491","0.664938","0.325851","0.621089","0.336493","0.660428","0.344745","0.701225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-137.870514","-74.361176","-513.134766","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"r","0.361608","0.635605","0.379972","0.606082","0.386367","0.571779","0.37547","0.548817","0.362351","0.543827","0.378065","0.542807","0.375379","0.503747","0.371938","0.477482","0.368242","0.454617","0.36733","0.543166","0.369489","0.502872","0.370793","0.475092","0.371026","0.451464","0.356113","0.550163","0.354286","0.520165","0.358672","0.544184","0.360938","0.56659","0.343945","0.561924","0.342975","0.535708","0.348728","0.550423","0.352264","0.568983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-150.877319","-64.099091","-486.727692","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"s","0.335488","0.633032","0.358624","0.600268","0.371991","0.564896","0.363907","0.533252","0.351256","0.515749","0.365386","0.534","0.369555","0.50017","0.367909","0.511178","0.364396","0.527276","0.350944","0.532244","0.35406","0.503465","0.35372","0.531533","0.35186","0.551201","0.33654","0.533873","0.338457","0.506652","0.340513","0.539848","0.339212","0.564032","0.320167","0.538697","0.323797","0.509391","0.327886","0.527952","0.328317","0.546397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-174.20726","-62.338455","-514.764282","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"s","0.326477","0.649434","0.366822","0.61241","0.395794","0.556881","0.387321","0.49898","0.363008","0.473595","0.389124","0.494288","0.401596","0.438487","0.392542","0.480379","0.383258","0.512852","0.364512","0.483828","0.371889","0.440378","0.365581","0.49483","0.361092","0.52263","0.340023","0.479104","0.344747","0.436","0.343424","0.496212","0.339921","0.532209","0.312686","0.478516","0.322009","0.441806","0.324875","0.483025","0.323188","0.513868","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.013062","-81.269135","-507.752502","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"s","0.356762","0.604339","0.37479","0.579589","0.385686","0.549458","0.37965","0.522019","0.369651","0.50509","0.380516","0.517566","0.38395","0.487027","0.383024","0.499327","0.380109","0.515757","0.367659","0.516625","0.370699","0.489948","0.370612","0.514933","0.368768","0.53232","0.355058","0.518573","0.356284","0.493418","0.358888","0.521942","0.35833","0.543102","0.341234","0.523352","0.343705","0.498676","0.347875","0.515215","0.348735","0.531404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-166.656296","-66.178818","-461.794861","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"t","0.355021","0.640802","0.37802","0.592271","0.382895","0.544273","0.384585","0.513147","0.383149","0.49255","0.358437","0.504535","0.369011","0.464132","0.382965","0.461764","0.392991","0.478981","0.350258","0.510571","0.384859","0.501029","0.391796","0.535498","0.388365","0.559394","0.347929","0.524132","0.384297","0.521751","0.387189","0.555363","0.382318","0.574132","0.349756","0.542454","0.379055","0.535717","0.381952","0.560812","0.378291","0.576273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-115.323212","-67.204338","-488.312622","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"t","0.394059","0.637427","0.412006","0.594659","0.414825","0.551108","0.413459","0.525063","0.409899","0.505646","0.393048","0.520701","0.400045","0.486034","0.412102","0.482304","0.421129","0.492721","0.385475","0.527215","0.412049","0.513871","0.419347","0.543242","0.417118","0.56419","0.382208","0.539588","0.410956","0.53265","0.415312","0.561989","0.411894","0.578984","0.382414","0.55584","0.405187","0.54616","0.40925","0.568011","0.406679","0.582268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-119.551384","-66.274849","-489.031006","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"t","0.385826","0.74545","0.423098","0.664144","0.430973","0.57115","0.430113","0.507575","0.426756","0.465166","0.388281","0.495686","0.407563","0.405777","0.435222","0.403625","0.450741","0.438092","0.375934","0.514754","0.443313","0.485415","0.459432","0.544852","0.45133","0.580964","0.375963","0.551117","0.446967","0.553122","0.454009","0.604752","0.441743","0.62362","0.384981","0.593823","0.44625","0.604542","0.448547","0.641113","0.433475","0.652092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-106.154915","-52.705624","-455.735413","0","0","0","static","left_only","21","0","1","0","keep","1.77E+12"
"t","0.389961","0.761423","0.42512","0.678813","0.436502","0.593841","0.435674","0.532413","0.432086","0.488457","0.390396","0.521367","0.436298","0.49709","0.450552","0.53503","0.446763","0.558365","0.378931","0.534856","0.44653","0.536273","0.454206","0.587584","0.443173","0.610392","0.377964","0.568035","0.44914","0.583411","0.450042","0.630441","0.434988","0.644791","0.383424","0.611452","0.441587","0.624033","0.443647","0.657546","0.430975","0.666923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-103.392693","-49.119667","-447.278992","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"t","0.388616","0.735886","0.427493","0.655898","0.435534","0.564913","0.433036","0.501107","0.428048","0.458289","0.390075","0.489901","0.411955","0.412012","0.437486","0.40951","0.451784","0.43711","0.37708","0.509319","0.443952","0.482185","0.459584","0.540251","0.452702","0.575652","0.376696","0.54565","0.447957","0.544965","0.45501","0.596334","0.443739","0.617113","0.385104","0.588714","0.446555","0.594465","0.449788","0.630357","0.436409","0.642684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-100.559952","-45.744534","-467.436218","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"t","0.390805","0.650425","0.412843","0.602501","0.415322","0.55569","0.414704","0.524336","0.412664","0.503725","0.38959","0.523284","0.399986","0.4773","0.415188","0.477461","0.424602","0.496332","0.383368","0.531249","0.419239","0.519744","0.426438","0.550946","0.421784","0.569935","0.383929","0.546536","0.421657","0.542237","0.424749","0.571799","0.418911","0.585128","0.388805","0.564346","0.419097","0.563395","0.420221","0.585641","0.413882","0.595682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-112.569839","-55.865356","-491.047699","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"t","0.356477","0.635555","0.382322","0.58369","0.387655","0.52847","0.38727","0.492783","0.386013","0.472841","0.360063","0.485254","0.375407","0.439473","0.392398","0.441902","0.402497","0.464667","0.352367","0.495663","0.392203","0.485894","0.398584","0.521003","0.392159","0.540711","0.351705","0.515538","0.39295","0.51442","0.395219","0.546388","0.387701","0.559238","0.355586","0.53971","0.389866","0.540406","0.391168","0.563533","0.383479","0.572636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-103.598442","-49.378349","-470.713715","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"u","0.33474","0.626368","0.360874","0.590274","0.370681","0.538699","0.353701","0.505268","0.336415","0.492972","0.36026","0.492158","0.361101","0.434193","0.359475","0.398371","0.357685","0.366323","0.343102","0.488354","0.344185","0.428437","0.345588","0.38603","0.346493","0.351506","0.32639","0.495238","0.325156","0.458638","0.330646","0.493937","0.332558","0.525769","0.309441","0.508806","0.309304","0.470734","0.315592","0.489634","0.318269","0.514337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-143.884033","-77.092392","-547.458374","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"u","0.370623","0.608598","0.38995","0.576128","0.397522","0.538433","0.38852","0.507984","0.373846","0.501532","0.385065","0.500874","0.385037","0.457455","0.383127","0.431749","0.380407","0.408108","0.373417","0.500605","0.373074","0.456484","0.373444","0.425425","0.373095","0.399222","0.361961","0.509008","0.361764","0.47703","0.369788","0.500152","0.373804","0.523606","0.349518","0.523089","0.349705","0.491087","0.358145","0.503268","0.363258","0.52339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-140.973969","-67.922157","-502.193329","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"u","0.37766","0.732094","0.413439","0.651813","0.431216","0.578386","0.414691","0.524762","0.388363","0.516841","0.409501","0.518313","0.410289","0.440699","0.407254","0.392485","0.404429","0.344791","0.386082","0.513883","0.386175","0.438432","0.386642","0.38297","0.38843","0.33449","0.363855","0.523173","0.368138","0.471165","0.381632","0.510893","0.390183","0.553816","0.341191","0.54394","0.343052","0.487869","0.358572","0.508484","0.370613","0.545511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-146.632919","-66.068298","-491.683929","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"u","0.380497","0.69619","0.413042","0.666546","0.42192","0.59981","0.389514","0.57147","0.35813","0.573417","0.406914","0.531868","0.404598","0.45106","0.400675","0.398108","0.397436","0.352508","0.382369","0.533132","0.381032","0.447289","0.379633","0.386806","0.379646","0.337303","0.359661","0.546521","0.356189","0.497774","0.364206","0.535782","0.370368","0.569474","0.337376","0.567622","0.33388","0.52957","0.344025","0.560899","0.350776","0.5954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-136.378891","-74.201553","-508.72113","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"u","0.41767","0.609879","0.431936","0.579378","0.434972","0.543147","0.419975","0.525048","0.406657","0.523161","0.426125","0.514435","0.424792","0.474594","0.422321","0.449789","0.419588","0.428527","0.414701","0.516896","0.412588","0.473958","0.411389","0.44509","0.410091","0.421909","0.40439","0.52618","0.401739","0.501098","0.407476","0.522228","0.410354","0.54188","0.394055","0.539715","0.390881","0.513911","0.397281","0.524999","0.40157","0.541046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-127.193314","-67.202591","-475.449982","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"v","0.343636","0.639446","0.366393","0.606077","0.37545","0.563839","0.360072","0.535973","0.342904","0.525926","0.363334","0.520027","0.373387","0.468835","0.378632","0.437186","0.383093","0.409388","0.34576","0.518261","0.342128","0.459411","0.340757","0.421492","0.339777","0.391868","0.330436","0.528441","0.331866","0.504995","0.340293","0.538175","0.343696","0.567454","0.316176","0.545837","0.316687","0.51437","0.326054","0.533526","0.331211","0.557595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-133.924927","-74.008064","-545.624451","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"v","0.401816","0.784414","0.437607","0.724932","0.450083","0.644382","0.428426","0.594425","0.39834","0.583553","0.423503","0.557648","0.435267","0.470695","0.442195","0.412758","0.447916","0.359962","0.393692","0.559859","0.382876","0.464169","0.376626","0.395999","0.37275","0.338848","0.368038","0.582737","0.374215","0.547411","0.395213","0.602699","0.407436","0.652895","0.344952","0.618454","0.348987","0.572588","0.371789","0.606476","0.38732","0.649922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-127.337967","-67.380081","-499.445007","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"v","0.410099","0.598007","0.42221","0.567779","0.425301","0.534676","0.413141","0.519213","0.400283","0.514874","0.410756","0.501773","0.413836","0.464818","0.415577","0.441603","0.416695","0.421186","0.397913","0.505841","0.388691","0.465251","0.384175","0.439395","0.38044","0.419015","0.388211","0.519316","0.389402","0.501973","0.399694","0.521161","0.405131","0.539079","0.380194","0.537649","0.37971","0.515907","0.389315","0.524978","0.396102","0.539031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-115.919022","-61.650188","-461.435608","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"v","0.395292","0.611928","0.408002","0.582149","0.413457","0.551114","0.404065","0.536544","0.390793","0.53483","0.398037","0.515063","0.404759","0.479458","0.409249","0.457491","0.412886","0.437637","0.384181","0.517288","0.377856","0.476185","0.373958","0.448736","0.370476","0.426064","0.372825","0.529609","0.377238","0.515411","0.388394","0.540252","0.394405","0.560077","0.363523","0.547849","0.368295","0.531614","0.378848","0.546022","0.385555","0.560989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-80.322029","-62.076576","-464.739044","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"w","0.351539","0.673888","0.38023","0.632394","0.39646","0.583645","0.392539","0.552532","0.381135","0.540736","0.382641","0.524067","0.39157","0.470283","0.397362","0.439548","0.402204","0.410914","0.364711","0.516719","0.369301","0.452863","0.372213","0.414083","0.374926","0.381236","0.347699","0.523128","0.345014","0.464676","0.345906","0.42482","0.346173","0.39034","0.333386","0.542082","0.336139","0.50634","0.342817","0.515272","0.347139","0.531858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-122.559059","-79.052727","-545.497375","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"w","0.398036","0.611819","0.413933","0.585354","0.418879","0.54931","0.404744","0.52956","0.390271","0.525268","0.410868","0.513756","0.416833","0.472754","0.419564","0.447126","0.421282","0.423714","0.397257","0.510196","0.396383","0.463645","0.394629","0.4336","0.393504","0.408527","0.385586","0.517128","0.377783","0.475831","0.373422","0.446383","0.369473","0.421164","0.37592","0.53344","0.376853","0.506624","0.384731","0.519432","0.391171","0.538049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-122.982742","-71.150253","-511.270081","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"w","0.41638","0.725964","0.449876","0.667719","0.46558","0.590311","0.442806","0.547959","0.412663","0.539187","0.444209","0.496656","0.458842","0.414204","0.468053","0.362927","0.474513","0.314889","0.412949","0.491049","0.411646","0.388313","0.409526","0.324297","0.408396","0.270355","0.386864","0.509006","0.375485","0.425802","0.371027","0.363106","0.366169","0.307711","0.367809","0.551138","0.377585","0.494603","0.394961","0.525111","0.406892","0.567856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-105.44883","-73.128944","-496.970093","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"w","0.37149","0.601801","0.38432","0.574308","0.387909","0.541246","0.375468","0.527042","0.361368","0.523837","0.378434","0.502563","0.383696","0.466809","0.387162","0.445545","0.389495","0.42492","0.364886","0.500775","0.364233","0.455589","0.363324","0.427039","0.362654","0.402736","0.353132","0.509763","0.345791","0.474536","0.342221","0.446463","0.33889","0.421737","0.344132","0.528583","0.347136","0.506262","0.356055","0.518859","0.362925","0.537073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-86.291504","-68.93586","-482.800629","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"x","0.312095","0.593624","0.34937","0.544901","0.368187","0.495744","0.382745","0.469172","0.395962","0.447275","0.336683","0.415814","0.344418","0.3618","0.365434","0.339747","0.384399","0.332365","0.32868","0.426889","0.374854","0.410763","0.395463","0.445004","0.400081","0.477292","0.327538","0.4517","0.369731","0.442822","0.385477","0.476199","0.387224","0.504169","0.33041","0.481354","0.36193","0.471875","0.374261","0.490407","0.37696","0.50835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-73.333748","-50.348495","-511.512695","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"x","0.395361","0.576608","0.419692","0.54876","0.430667","0.517184","0.439314","0.497479","0.445121","0.480599","0.407399","0.466536","0.412194","0.428084","0.425905","0.413221","0.437469","0.408374","0.403117","0.472368","0.434643","0.453433","0.448912","0.476698","0.450505","0.498729","0.403664","0.486103","0.433761","0.471886","0.445581","0.494066","0.445623","0.512947","0.40695","0.503266","0.429685","0.490167","0.4373","0.50297","0.436614","0.516493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-74.383331","-60.070648","-533.233215","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"x","0.307482","0.640721","0.356536","0.585333","0.383394","0.527334","0.405454","0.49834","0.42505","0.474265","0.344724","0.410351","0.352272","0.340422","0.380244","0.31788","0.405728","0.316601","0.33225","0.420343","0.389161","0.409127","0.416579","0.457149","0.423571","0.500511","0.327563","0.448884","0.381059","0.444329","0.401517","0.494059","0.403315","0.532938","0.327799","0.485893","0.369973","0.477853","0.386444","0.509977","0.389289","0.539133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.833427","-49.220661","-485.140259","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"x","0.350723","0.607734","0.387991","0.577804","0.407173","0.541398","0.422973","0.5214","0.434335","0.504157","0.381861","0.459934","0.390973","0.412261","0.41184","0.397824","0.427959","0.397675","0.375708","0.464945","0.4203","0.45323","0.436592","0.490457","0.435398","0.521042","0.375394","0.483568","0.416113","0.47664","0.429058","0.511696","0.425674","0.537268","0.378395","0.507518","0.410156","0.500898","0.418918","0.523226","0.415779","0.5424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-58.925114","-60.338001","-531.370667","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"y","0.345034","0.612109","0.373942","0.580213","0.395325","0.534612","0.409176","0.492347","0.415438","0.457927","0.371106","0.486552","0.373591","0.44666","0.37028","0.47102","0.367585","0.502487","0.352181","0.484042","0.353696","0.45093","0.352719","0.486936","0.352709","0.52189","0.333662","0.48491","0.331175","0.451219","0.334343","0.483375","0.338219","0.516026","0.316538","0.489393","0.311336","0.446171","0.306451","0.416696","0.302627","0.389035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-164.08139","-77.241234","-502.568878","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"y","0.397245","0.601344","0.414469","0.571038","0.426247","0.536609","0.434067","0.507709","0.438027","0.48541","0.40577","0.509387","0.405056","0.483988","0.405667","0.503567","0.406772","0.524812","0.392564","0.513342","0.39236","0.491036","0.396204","0.517737","0.399379","0.542502","0.379639","0.51966","0.376188","0.499001","0.383163","0.521938","0.389276","0.542774","0.3675","0.52845","0.358831","0.49999","0.354307","0.48096","0.350554","0.461953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-120.358475","-69.842468","-441.858368","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"y","0.391165","0.604307","0.407272","0.57542","0.417958","0.540011","0.425119","0.509888","0.430156","0.487379","0.397163","0.515106","0.397038","0.48985","0.398426","0.511882","0.400328","0.53375","0.384072","0.519178","0.384379","0.498077","0.389047","0.524849","0.392864","0.548226","0.371417","0.526045","0.368102","0.505158","0.376372","0.527926","0.383413","0.548182","0.359744","0.535425","0.350897","0.507689","0.345768","0.489079","0.341252","0.470225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-108.502274","-68.523613","-436.069336","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"y","0.348018","0.676439","0.387127","0.637547","0.417332","0.56388","0.441168","0.507867","0.460444","0.468257","0.391215","0.478734","0.396955","0.435789","0.392233","0.494398","0.388137","0.548076","0.359185","0.474317","0.36455","0.435255","0.36476","0.512637","0.364837","0.570758","0.327493","0.478715","0.328165","0.438001","0.336462","0.507973","0.343673","0.56443","0.299299","0.491054","0.290813","0.415761","0.281703","0.368049","0.273903","0.322099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-111.853203","-84.4739","-492.846558","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"y","0.379172","0.580256","0.405176","0.553172","0.425431","0.51419","0.439803","0.477278","0.446901","0.446757","0.403509","0.46674","0.404988","0.430367","0.401013","0.453571","0.397833","0.483347","0.386348","0.464099","0.386586","0.433947","0.384974","0.467406","0.384649","0.498002","0.369969","0.464484","0.367881","0.433812","0.369785","0.46313","0.372548","0.492285","0.355225","0.468292","0.350726","0.429927","0.346406","0.404276","0.343123","0.380533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-163.891693","-77.680687","-499.970337","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"ikaw","0.456281","0.575523","0.479344","0.571678","0.501198","0.566022","0.507943","0.570755","0.494978","0.578308","0.486356","0.492571","0.487181","0.530093","0.490145","0.551559","0.492967","0.557113","0.460526","0.490692","0.46661","0.568594","0.470394","0.586879","0.472565","0.580578","0.437766","0.503923","0.445557","0.5799","0.451521","0.594118","0.456249","0.584974","0.418549","0.522005","0.425648","0.583475","0.433339","0.599552","0.439535","0.593912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.349285","-12.462052","-21.169579","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"ikaw","0.443854","0.597405","0.464129","0.594728","0.486699","0.578114","0.490275","0.57867","0.476549","0.588415","0.47496","0.541077","0.473736","0.522581","0.476805","0.528235","0.47817","0.537698","0.453457","0.53926","0.456155","0.555184","0.458161","0.584652","0.458155","0.594989","0.434899","0.547989","0.437016","0.56943","0.440238","0.594363","0.442289","0.598052","0.417389","0.559486","0.416492","0.573644","0.420532","0.592349","0.425126","0.596363","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.044523","-23.90509","-39.476074","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"ikaw","0.48376","0.657379","0.498625","0.651924","0.513628","0.639192","0.520396","0.640705","0.518598","0.641058","0.50822","0.633545","0.514435","0.628276","0.513822","0.631028","0.510634","0.63893","0.494786","0.629312","0.496995","0.626771","0.497198","0.634669","0.496899","0.643241","0.481497","0.631594","0.482286","0.636004","0.483186","0.644549","0.484406","0.650918","0.468898","0.636932","0.467213","0.641108","0.468702","0.646986","0.471129","0.651416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.431875","-28.687443","3.534812","0","0","0","static","left_only","21","0","1","0","keep","1.77E+12"
"ikaw","0.451596","0.639459","0.466446","0.630009","0.480667","0.616117","0.483057","0.616031","0.473829","0.626328","0.467208","0.57901","0.466714","0.577658","0.465676","0.577794","0.464536","0.578792","0.449632","0.584005","0.450844","0.61869","0.45589","0.633259","0.460025","0.630768","0.435245","0.598757","0.436388","0.630466","0.442158","0.641607","0.447216","0.637343","0.422845","0.615252","0.422294","0.638457","0.427614","0.646958","0.43366","0.643966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.785789","-13.768207","23.311554","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"ikaw","0.470335","0.607932","0.481554","0.595078","0.490862","0.573608","0.493526","0.557395","0.492394","0.541706","0.485691","0.582934","0.48937","0.589761","0.488343","0.60281","0.486317","0.607316","0.473513","0.58819","0.47316","0.590209","0.474421","0.609931","0.476807","0.618586","0.462842","0.594908","0.461005","0.597095","0.463843","0.615737","0.467325","0.622181","0.453612","0.601096","0.44954","0.60473","0.45137","0.614396","0.454443","0.617399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.027694","-34.525421","-40.826286","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"ikaw","0.471804","0.603603","0.487241","0.602357","0.501958","0.602292","0.508441","0.610672","0.500357","0.620117","0.49846","0.571105","0.505663","0.573373","0.50365","0.580036","0.500132","0.590734","0.482295","0.56338","0.485892","0.581674","0.485513","0.590036","0.484676","0.596997","0.466648","0.565025","0.468387","0.584983","0.469812","0.593351","0.471479","0.599066","0.45249","0.572367","0.452035","0.589264","0.454455","0.595824","0.457798","0.59967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.158013","-4.873707","4.63627","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"ikaw","0.457788","0.568583","0.470475","0.564043","0.482451","0.558498","0.486123","0.557594","0.484462","0.554755","0.477248","0.565301","0.480249","0.576056","0.478075","0.578395","0.474357","0.585936","0.461518","0.559674","0.461259","0.577956","0.461496","0.578765","0.46128","0.583053","0.447777","0.557737","0.446847","0.577735","0.448698","0.580154","0.451068","0.584289","0.436439","0.558781","0.435524","0.575398","0.437698","0.579602","0.440916","0.583515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.774574","-12.197366","-7.70428","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
"ikaw","0.431789","0.575705","0.447742","0.574014","0.461215","0.575611","0.465209","0.590955","0.460249","0.604487","0.459005","0.532044","0.46296","0.541333","0.465552","0.543227","0.467576","0.547514","0.443064","0.522723","0.446502","0.571365","0.44689","0.582386","0.446969","0.582653","0.42732","0.526693","0.430891","0.577184","0.432994","0.583577","0.435066","0.57933","0.413759","0.537044","0.415878","0.577742","0.417841","0.584031","0.419847","0.580052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.111384","-4.142859","-17.735321","0","0","0","static","left_only","21","0","0","0","keep","1.77E+12"
